sample,BranchLength,BranchVolume,DBHcyl,DBHqsm,LengthBranchOrder,LengthCylDiam,MaxBranchOrder,NumberBranchOrder,NumberBranches,TotalArea,TotalVolume,TreeHeight,TrunkLength,TrunkVolume,VolumeBranchOrder,VolumeCylDiam,PA,IoU,DSC,MSE,NHD
T400,210.27667,521.2635,0.18704286,0.18639918,0.55674547,15.46417,5,32,222,40.923164,872.1756,20.686337,21.20202,350.91205,249.03946,0.31963667,0.906084656,0.838636364,0.911987852,0.093915344,0.033117818
T401,24.87835,90.30881,0.08463002,0.08463002,0.12687883,2.5750082,3,11,28,6.02852,158.4068,3.44239,3.5487037,68.09801,58.389652,0.04458681,0.975054825,0.938247919,0.9679738,0.024945175,0.040559621
T402,924.71405,3781.4385,0.6150939,0.6150939,0.6395808,69.241425,8,19,792,182.60295,4613.1484,21.506073,19.608486,831.7098,883.1248,1.6285883,0.970899471,0.936286831,0.966955267,0.029100529,0.02756631
T403,201.60635,800.4705,0.33704913,0.33704913,0.67425936,10.815334,5,31,177,48.18984,1581.545,17.807077,19.742228,781.07446,495.68732,0.25061202,0.942386831,0.909694989,0.952629879,0.057613169,0.043100519
T404,88.36425,102.88171,0.10010854,0.09754816,0.19952577,8.003768,5,14,105,11.069969,140.39957,7.182237,7.635706,37.51784,38.019424,0.21859117,0.981428571,0.967840154,0.983629375,0.018571429,0.006412927
T405,2.9914598,8.835405,0.054438513,0.054438513,0.026186537,0,2,3,4,0.9291367,17.770536,0.7122154,1.8308048,8.935131,8.563536,0,0.914965986,0.795455447,0.886017959,0.085034014,0.016368367
T406,298.09946,238.0858,0.12612347,0.12011631,0.39132872,36.972946,6,24,375,30.401384,349.27585,15.103703,15.825706,111.19009,59.898018,1.1745821,0.941358025,0.905092593,0.950031626,0.058641975,0.027692079
T407,94.3162,614.3581,0.4363873,0.4363873,0.15768205,8.105914,5,3,87,25.075872,853.4894,4.3790073,2.1062708,239.13133,225.79892,0.16616248,0.982010582,0.970540379,0.985033337,0.017989418,0.011956136
T408,1219.1388,3097.923,0.34132206,0.33469018,0.72066903,95.02033,9,28,1312,193.58356,3973.4353,22.396488,21.48397,875.51215,561.0145,2.5552182,0.904761905,0.824705882,0.903777619,0.095238095,0.014761775
T409,501.8866,579.73145,0.10020482,0.10020482,1.0212448,59.657143,5,54,522,57.74275,678.3134,19.38965,22.37711,98.581955,200.92583,1.6395887,0.758730159,0.623524624,0.764833206,0.241269841,0.029224214
T410,14.32932,79.8929,0.0943447,0.0943447,0.033493172,2.0999768,3,1,12,3.6308506,101.03895,2.785801,1.0911422,21.14605,42.07,0.032840002,0.8515625,0.758867397,0.862198778,0.1484375,0.012488388
T411,330.34583,2554.2554,0.51489335,0.51489335,0.61551744,22.69489,6,17,286,86.423004,3431.277,10.223866,6.527833,877.0215,1412.171,0.49393332,0.976190476,0.95002846,0.974350422,0.023809524,0.014438666
T412,302.53278,1310.7743,0.314664,0.3088872,0.33088982,17.30279,6,9,263,61.093212,1649.5405,8.019728,4.355947,338.766,464.4044,0.3322256,0.872727273,0.806016451,0.890460948,0.127272727,0.01584392
T413,1794.0868,7072.2705,0.6889551,0.7137743,1.2216607,147.98505,8,25,1382,351.59735,10040.705,26.068224,24.213358,2968.4338,1633.9548,2.7623746,0.930555556,0.871273713,0.928601079,0.069444444,0.063219908
T414,74.24493,165.111,0.148743,0.14907303,0.16089086,5.6275597,5,7,86,13.164626,256.7318,7.2085276,7.7500196,91.62085,87.368195,0.1411571,0.969082126,0.93994709,0.968554284,0.030917874,0.017719345
T415,62.73727,158.072,0.3363268,0.3363268,0.12800461,5.933607,6,7,57,11.989562,341.03625,8.902733,9.138288,182.96423,99.22236,0.21937244,0.938137755,0.895987982,0.944338624,0.061862245,0.023530894
T416,200.94513,102.95819,0.05734947,0.05855157,0.27551708,21.330467,6,11,216,15.703221,116.13994,9.224041,7.5612793,13.181755,19.716269,0.68085873,0.914814815,0.856558136,0.922609406,0.085185185,0.039544648
T417,78.83797,123.218,0.14385183,0.13909712,0.30242154,9.329276,4,19,80,14.4249115,269.5707,16.789059,16.82817,146.35272,68.550804,0.25964516,0.952102478,0.89826317,0.946372717,0.047897522,0.002185544
